January - December 2019 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KY-197,"Powell County",66.04,127,19.53,46.51
KY-199,"Pulaski County",66.86,125,17.04,49.82
KY-201,"Robertson County",57.47,124,13.39,44.08
KY-203,"Rockcastle County",64.36,123,15.07,49.29
KY-205,"Rowan County",60.11,125,15.15,44.96
KY-207,"Russell County",70.16,127,19.32,50.84
KY-209,"Scott County",59.91,125,15.89,44.02
KY-211,"Shelby County",63.84,125,18.33,45.51
KY-213,"Simpson County",66.49,126,17.59,48.9
KY-215,"Spencer County",65.14,124,18.55,46.59
KY-217,"Taylor County",60.98,120,11.5,49.48
KY-219,"Todd County",59.44,114,11.16,48.28
KY-221,"Trigg County",58.51,110,9.8,48.71
KY-223,"Trimble County",55.58,120,12.18,43.4
KY-225,"Union County",54.85,111,9.98,44.87
KY-227,"Warren County",65.3,125,16.26,49.04
KY-229,"Washington County",61.08,122,13.72,47.36
KY-231,"Wayne County",69.18,127,18.4,50.78
KY-233,"Webster County",60.23,125,14.93,45.3
KY-235,"Whitley County",67.67,127,17.52,50.15
KY-237,"Wolfe County",59.35,123,13.41,45.94
KY-239,"Woodford County",59.99,125,14.88,45.11
LA-001,"Acadia Parish",66.9,97,8.53,58.37
LA-003,"Allen Parish",68.95,106,10.12,58.83
LA-005,"Ascension Parish",61.77,71,1.25,60.52
LA-007,"Assumption Parish",56.73,49,-4.48,61.21
LA-009,"Avoyelles Parish",60.04,76,2.54,57.5
LA-011,"Beauregard Parish",65.95,102,9.0,56.95
LA-013,"Bienville Parish",57.44,89,4.21,53.23
LA-015,"Bossier Parish",50.5,78,0.81,49.69
LA-017,"Caddo Parish",48.81,72,0.38,48.43
LA-019,"Calcasieu Parish",69.36,109,11.9,57.46
LA-021,"Caldwell Parish",64.41,106,9.89,54.52
LA-023,"Cameron Parish",65.44,100,8.58,56.86
LA-025,"Catahoula Parish",59.29,85,3.61,55.68
LA-027,"Claiborne Parish",61.45,98,9.12,52.33
LA-029,"Concordia Parish",60.67,90,4.42,56.25
LA-031,"De Soto Parish",51.41,76,1.39,50.02
LA-033,"East Baton Rouge Parish",63.66,81,3.32,60.34
LA-035,"East Carroll Parish",67.2,114,13.93,53.27
LA-037,"East Feliciana Parish",62.2,63,0.5,61.7
LA-039,"Evangeline Parish",66.17,98,7.27,58.9
LA-041,"Franklin Parish",63.35,107,9.33,54.02
LA-043,"Grant Parish",61.3,88,5.61,55.69
LA-045,"Iberia Parish",64.3,88,5.69,58.61
LA-047,"Iberville Parish",63.24,78,3.95,59.29
LA-049,"Jackson Parish",66.29,109,11.92,54.37
LA-051,"Jefferson Parish",63.18,70,1.73,61.45
LA-053,"Jefferson Davis Parish",68.09,99,9.52,58.57
LA-055,"Lafayette Parish",66.17,97,7.42,58.75
LA-057,"Lafourche Parish",55.12,38,-6.72,61.84
LA-059,"La Salle Parish",58.21,77,1.99,56.22
LA-061,"Lincoln Parish",66.83,111,13.71,53.12
LA-063,"Livingston Parish",68.1,91,6.29,61.81
LA-065,"Madison Parish",64.88,110,11.47,53.41
LA-067,"Morehouse Parish",66.46,111,13.17,53.29
LA-069,"Natchitoches Parish",63.12,102,10.16,52.96
LA-071,"Orleans Parish",65.77,87,4.92,60.85
LA-073,"Ouachita Parish",65.14,105,11.74,53.4
LA-075,"Plaquemines Parish",61.72,68,0.67,61.05
LA-077,"Pointe Coupee Parish",64.01,90,4.88,59.13
LA-079,"Rapides Parish",61.13,84,4.03,57.1
LA-081,"Red River Parish",55.42,88,4.24,51.18
LA-083,"Richland Parish",65.65,109,12.02,53.63
LA-085,"Sabine Parish",59.17,98,7.43,51.74
LA-087,"St. Bernard Parish",63.91,77,2.83,61.08
LA-089,"St. Charles Parish",62.24,69,0.76,61.48
LA-091,"St. Helena Parish",62.86,64,-0.16,63.02
LA-093,"St. James Parish",55.05,35,-5.93,60.98
LA-095,"St. John the Baptist Parish",59.07,57,-1.83,60.9
LA-097,"St. Landry Parish",64.77,90,5.89,58.88
LA-099,"St. Martin Parish",63.05,81,3.77,59.28
LA-101,"St. Mary Parish",59.68,65,-0.35,60.03
LA-103,"St. Tammany Parish",61.93,60,0.45,61.48
LA-105,"Tangipahoa Parish",62.12,60,-0.59,62.71
LA-107,"Tensas Parish",61.37,101,6.9,54.47
LA-109,"Terrebonne Parish",52.81,28,-9.04,61.85
LA-111,"Union Parish",66.85,114,14.08,52.77
LA-113,"Vermilion Parish",63.02,85,5.04,57.98
LA-115,"Vernon Parish",60.35,86,4.71,55.64
LA-117,"Washington Parish",62.55,65,0.35,62.2
LA-119,"Webster Parish",54.81,89,3.84,50.97
LA-121,"West Baton Rouge Parish",62.45,76,3.25,59.2
LA-123,"West Carroll Parish",68.74,120,15.43,53.31
LA-125,"West Feliciana Parish",62.88,78,3.07,59.81
LA-127,"Winn Parish",63.02,99,7.68,55.34
ME-001,"Androscoggin County",50.51,103,5.89,44.62
ME-003,"Aroostook County",44.46,113,6.46,38
ME-005,"Cumberland County",51.07,100,6.44,44.63
ME-007,"Franklin County",48.69,98,4.48,44.21
ME-009,"Hancock County",58.43,122,12.72,45.71
ME-011,"Kennebec County",48.86,106,5.95,42.91
ME-013,"Knox County",58.46,117,12.06,46.4
ME-015,"Lincoln County",53.99,111,9.37,44.62
ME-017,"Oxford County",50.56,110,6.77,43.79
ME-019,"Penobscot County",51.09,119,9.36,41.73
ME-021,"Piscataquis County",49.5,116,8.05,41.45
ME-023,"Sagadahoc County",52.1,105,7.6,44.5
ME-025,"Somerset County",47.77,110,6.53,41.24
ME-027,"Waldo County",54.26,110,9.5,44.76
ME-029,"Washington County",58.65,123,14.38,44.27
ME-031,"York County",49.08,94,4.58,44.5
MD-001,"Allegany County",40.66,94,3.15,37.51
MD-003,"Anne Arundel County",38.72,37,-3.73,42.45
MD-005,"Baltimore County",46.69,88,3.31,43.38
MD-009,"Calvert County",40.19,45,-2.77,42.96
MD-011,"Caroline County",37.63,17,-5.8,43.43
MD-013,"Carroll County",49.14,111,6.76,42.38
MD-015,"Cecil County",45.06,71,1.28,43.78
MD-017,"Charles County",40.9,56,-1.32,42.22
MD-019,"Dorchester County",37.99,23,-5.52,43.51
MD-021,"Frederick County",48.94,111,7.09,41.85
MD-023,"Garrett County",48.5,90,3.09,45.41
MD-025,"Harford County",45.01,72,1.28,43.73
MD-027,"Howard County",44.53,83,2.05,42.48
MD-029,"Kent County",37.5,25,-5.35,42.85
MD-031,"Montgomery County",44.09,86,2.54,41.55
MD-033,"Prince George's County",42.29,70,0.0,42.29
MD-035,"Queen Anne's County",35.93,13,-7.07,43
MD-037,"St. Mary's County",40.02,48,-2.41,42.43
MD-039,"Somerset County",41.63,56,-1.07,42.7
MD-041,"Talbot County",36.87,15,-6.58,43.45
MD-043,"Washington County",45.14,110,6.0,39.14
MD-045,"Wicomico County",39.65,35,-4.02,43.67
MD-047,"Worcester County",42.75,62,-0.36,43.11
MD-510,"Baltimore City",44.16,73,1.29,42.87
MD-511,"Washington, D.C.",43.71,84,2.11,41.6
MA-001,"Barnstable County",58.46,126,14.93,43.53
MA-003,"Berkshire County",49.3,91,3.81,45.49
MA-005,"Bristol County",54.53,114,9.94,44.59
MA-007,"Dukes County",58.19,127,15.27,42.92
MA-009,"Essex County",49.4,105,6.63,42.77
MA-011,"Franklin County",49.7,95,4.7,45
MA-013,"Hampden County",51.71,101,5.36,46.35
MA-015,"Hampshire County",49.8,91,4.02,45.78
MA-017,"Middlesex County",51.12,110,7.69,43.43
MA-019,"Nantucket County",53.79,122,12.12,41.67
MA-021,"Norfolk County",55.62,116,10.63,44.99
MA-023,"Plymouth County",57.79,118,12.72,45.07
MA-025,"Suffolk County",53.72,111,9.41,44.31
MA-027,"Worcester County",53.89,115,9.39,44.5
MI-001,"Alcona County",36.23,124,7.55,28.68
MI-003,"Alger County",45.75,128,13.48,32.27
MI-005,"Allegan County",45.97,127,11.73,34.24
MI-007,"Alpena County",36.49,126,7.45,29.04
MI-009,"Antrim County",42.17,126,10.6,31.57
MI-011,"Arenac County",38.0,126,9.6,28.4
MI-013,"Baraga County",39.21,119,6.91,32.3
MI-015,"Barry County",46.13,127,12.93,33.2
MI-017,"Bay County",37.73,126,8.76,28.97
MI-019,"Benzie County",42.07,127,10.55,31.52
MI-021,"Berrien County",45.75,124,9.25,36.5
MI-023,"Branch County",45.09,125,10.63,34.46
MI-025,"Calhoun County",42.77,122,9.04,33.73
MI-027,"Cass County",45.59,122,9.62,35.97
MI-029,"Charlevoix County",41.02,125,10.22,30.8
MI-031,"Cheboygan County",36.61,123,7.84,28.77
MI-033,"Chippewa County",43.48,128,11.6,31.88
MI-035,"Clare County",42.2,128,12.58,29.62
MI-037,"Clinton County",43.05,127,12.26,30.79
MI-039,"Crawford County",40.0,128,9.48,30.52
MI-041,"Delta County",44.3,128,13.46,30.84
MI-043,"Dickinson County",36.6,122,6.89,29.71
MI-045,"Eaton County",43.65,127,11.82,31.83
MI-047,"Emmet County",38.37,123,8.59,29.78
MI-049,"Genesee County",40.8,125,10.71,30.09
MI-051,"Gladwin County",39.85,128,10.95,28.9
MI-053,"Gogebic County",42.83,126,10.09,32.74
MI-055,"Grand Traverse County",40.13,127,9.62,30.51
MI-057,"Gratiot County",43.78,128,13.67,30.11
MI-059,"Hillsdale County",46.24,127,12.07,34.17
MI-061,"Houghton County",34.15,100,3.7,30.45
MI-063,"Huron County",35.55,110,5.88,29.67
MI-065,"Ingham County",41.21,127,10.42,30.79
MI-067,"Ionia County",45.79,128,14.03,31.76
MI-069,"Iosco County",38.41,126,9.58,28.83
MI-071,"Iron County",39.61,126,9.02,30.59
MI-073,"Isabella County",44.95,128,15.16,29.79
MI-075,"Jackson County",41.04,125,9.53,31.51
MI-077,"Kalamazoo County",42.96,119,8.37,34.59
MI-079,"Kalkaska County",41.7,127,10.34,31.36
MI-081,"Kent County",47.91,128,14.99,32.92
MI-083,"Keweenaw County",37.27,120,8.04,29.23
MI-085,"Lake County",46.48,128,13.89,32.59
MI-087,"Lapeer County",38.53,125,8.66,29.87
MI-089,"Leelanau County",40.94,128,10.7,30.24
MI-091,"Lenawee County",42.25,125,10.49,31.76
MI-093,"Livingston County",41.31,127,10.78,30.53
MI-095,"Luce County",43.78,127,11.79,31.99
MI-097,"Mackinac County",42.94,128,12.33,30.61
MI-099,"Macomb County",38.93,123,8.68,30.25
MI-101,"Manistee County",44.7,127,13.08,31.62
MI-103,"Marquette County",41.84,127,10.38,31.46
MI-105,"Mason County",46.49,128,15.4,31.09
MI-107,"Mecosta County",47.04,128,15.59,31.45
MI-109,"Menominee County",41.43,128,11.46,29.97
MI-111,"Midland County",40.58,128,11.39,29.19
MI-113,"Missaukee County",41.8,128,11.91,29.89
MI-115,"Monroe County",37.13,112,6.01,31.12
MI-117,"Montcalm County",47.09,128,15.49,31.6
MI-119,"Montmorency County",34.71,124,6.37,28.34
MI-121,"Muskegon County",47.78,128,15.65,32.13
MI-123,"Newaygo County",47.75,128,15.22,32.53
MI-125,"Oakland County",40.39,124,9.71,30.68
MI-127,"Oceana County",47.9,128,16.08,31.82
MI-129,"Ogemaw County",41.74,128,12.87,28.87
MI-131,"Ontonagon County",39.5,122,7.9,31.6
MI-133,"Osceola County",44.67,128,13.62,31.05
MI-135,"Oscoda County",37.81,128,9.03,28.78
MI-137,"Otsego County",38.72,126,8.58,30.14
MI-139,"Ottawa County",47.03,128,14.02,33.01
MI-141,"Presque Isle County",36.97,127,8.08,28.89
MI-143,"Roscommon County",41.97,128,12.38,29.59
MI-145,"Saginaw County",41.49,128,11.98,29.51
MI-147,"St. Clair County",37.3,118,6.68,30.62
MI-149,"St. Joseph County",44.44,123,10.16,34.28
MI-151,"Sanilac County",37.17,120,7.13,30.04
MI-153,"Schoolcraft County",49.93,128,18.55,31.38
MI-155,"Shiawassee County",42.37,127,12.33,30.04
MI-157,"Tuscola County",39.29,125,9.79,29.5
MI-159,"Van Buren County",45.06,122,9.59,35.47
MI-161,"Washtenaw County",37.76,121,7.9,29.86
MI-163,"Wayne County",37.33,116,6.69,30.64
MI-165,"Wexford County",44.29,127,12.38,31.91
MN-001,"Aitkin County",36.16,125,9.17,26.99
MN-003,"Anoka County",38.83,124,9.67,29.16
MN-005,"Becker County",31.43,123,7.65,23.78
MN-007,"Beltrami County",29.62,123,6.1,23.52
MN-009,"Benton County",39.9,128,13.21,26.69
MN-011,"Big Stone County",32.98,127,10.35,22.63
MN-013,"Blue Earth County",43.45,127,14.56,28.89
MN-015,"Brown County",40.17,125,12.33,27.84
MN-017,"Carlton County",37.89,125,9.93,27.96
MN-019,"Carver County",40.19,128,11.71,28.48
MN-021,"Cass County",32.52,122,6.93,25.59
MN-023,"Chippewa County",36.53,128,11.83,24.7
MN-025,"Chisago County",39.81,123,10.58,29.23
MN-027,"Clay County",31.55,127,9.75,21.8
MN-029,"Clearwater County",30.62,124,7.04,23.58
MN-031,"Cook County",34.03,107,4.79,29.24
MN-033,"Cottonwood County",41.72,127,14.88,26.84
MN-035,"Crow Wing County",36.65,128,10.88,25.77
MN-037,"Dakota County",40.87,127,11.58,29.29
MN-039,"Dodge County",51.19,128,20.91,30.28
MN-041,"Douglas County",32.5,121,7.66,24.84
MN-043,"Faribault County",43.73,127,14.13,29.6
MN-045,"Fillmore County",49.27,127,17.2,32.07
MN-047,"Freeborn County",45.01,125,14.17,30.84
MN-049,"Goodhue County",46.33,128,16.55,29.78
MN-051,"Grant County",32.16,124,8.67,23.49
MN-053,"Hennepin County",41.12,127,12.19,28.93
MN-055,"Houston County",47.74,126,15.48,32.26
MN-057,"Hubbard County",32.96,122,7.74,25.22
MN-059,"Isanti County",39.11,123,10.33,28.78
MN-061,"Itasca County",29.14,107,3.74,25.4
MN-063,"Jackson County",42.79,126,15.37,27.42
MN-065,"Kanabec County",40.56,127,12.65,27.91
MN-067,"Kandiyohi County",36.43,124,11.08,25.35
MN-069,"Kittson County",24.89,110,4.63,20.26
MN-071,"Koochiching County",31.75,120,6.16,25.59
MN-073,"Lac qui Parle County",35.26,127,11.38,23.88
MN-075,"Lake County",32.62,103,4.02,28.6
MN-077,"Lake of the Woods County",29.21,120,6.31,22.9
MN-079,"Le Sueur County",44.59,128,15.44,29.15
MN-081,"Lincoln County",42.26,128,17.7,24.56
MN-083,"Lyon County",41.96,128,17.14,24.82
MN-085,"McLeod County",34.32,118,6.74,27.58
MN-087,"Mahnomen County",30.8,126,7.79,23.01
MN-089,"Marshall County",28.66,128,8.02,20.64
MN-091,"Martin County",41.77,126,13.2,28.57
MN-093,"Meeker County",34.53,118,8.41,26.12
MN-095,"Mille Lacs County",37.74,123,10.24,27.5
MN-097,"Morrison County",37.2,128,11.31,25.89
MN-099,"Mower County",48.26,128,16.56,31.7
MN-101,"Murray County",42.09,126,16.08,26.01
MN-103,"Nicollet County",40.67,126,11.67,29
MN-105,"Nobles County",43.04,126,16.02,27.02
MN-107,"Norman County",31.52,128,10.05,21.47
MN-109,"Olmsted County",50.75,128,19.77,30.98
MN-111,"Otter Tail County",32.17,123,8.13,24.04
MN-113,"Pennington County",27.77,123,6.5,21.27
MN-115,"Pine County",40.95,127,12.21,28.74
MN-117,"Pipestone County",41.15,128,16.18,24.97
MN-119,"Polk County",29.52,127,8.38,21.14
MN-121,"Pope County",34.42,121,9.97,24.45
MN-123,"Ramsey County",41.43,128,12.34,29.09
MN-125,"Red Lake County",27.45,120,5.93,21.52
MN-127,"Redwood County",40.09,127,14.18,25.91
MN-129,"Renville County",37.79,124,11.38,26.41
MN-131,"Rice County",48.63,128,19.3,29.33
MN-133,"Rock County",38.81,125,12.84,25.97
MN-135,"Roseau County",29.08,125,7.75,21.33
MN-137,"St. Louis County",31.26,103,4.06,27.2
MN-139,"Scott County",42.39,128,13.5,28.89
MN-141,"Sherburne County",39.45,126,11.77,27.68
MN-143,"Sibley County",38.06,123,9.49,28.57
MN-145,"Stearns County",38.61,127,13.18,25.43
MN-147,"Steele County",49.9,128,20.25,29.65
MN-149,"Stevens County",33.4,128,10.04,23.36
MN-151,"Swift County",34.98,128,10.83,24.15
MN-153,"Todd County",36.24,128,11.16,25.08
MN-155,"Traverse County",32.23,127,10.1,22.13
MN-157,"Wabasha County",47.51,128,16.92,30.59
MN-159,"Wadena County",33.85,124,8.45,25.4
MN-161,"Waseca County",46.59,127,17.37,29.22
MN-163,"Washington County",40.97,126,11.59,29.38
MN-165,"Watonwan County",42.21,126,14.16,28.05
MN-167,"Wilkin County",29.02,120,6.81,22.21
MN-169,"Winona County",49.12,128,17.28,31.84
MN-171,"Wright County",38.29,126,10.71,27.58
MN-173,"Yellow Medicine County",39.22,128,14.6,24.62
MS-001,"Adams County",65.21,104,8.65,56.56
MS-003,"Alcorn County",71.0,121,17.65,53.35
MS-005,"Amite County",65.5,81,4.17,61.33
MS-007,"Attala County",75.56,126,22.46,53.1
MS-009,"Benton County",71.2,122,16.91,54.29
MS-011,"Bolivar County",73.33,127,21.45,51.88
MS-013,"Calhoun County",63.83,109,10.17,53.66
MS-015,"Carroll County",74.35,125,21.39,52.96
MS-017,"Chickasaw County",67.37,117,13.87,53.5
MS-019,"Choctaw County",76.52,125,22.65,53.87
MS-021,"Claiborne County",62.6,103,7.67,54.93
MS-023,"Clarke County",63.81,94,6.33,57.48
MS-025,"Clay County",74.37,125,21.39,52.98
MS-027,"Coahoma County",66.07,117,14.35,51.72
MS-029,"Copiah County",64.89,105,9.31,55.58
MS-031,"Covington County",63.69,90,6.34,57.35
MS-033,"DeSoto County",76.99,128,25.46,51.53
MS-035,"Forrest County",66.56,98,6.88,59.68
MS-037,"Franklin County",68.28,106,9.75,58.53
MS-039,"George County",61.57,59,-2.08,63.65
MS-041,"Greene County",65.48,83,4.24,61.24
MS-043,"Grenada County",71.29,122,18.5,52.79
MS-045,"Hancock County",61.26,53,-0.94,62.2
MS-047,"Harrison County",57.0,40,-5.46,62.46
MS-049,"Hinds County",64.68,111,11.71,52.97
MS-051,"Holmes County",68.83,120,16.22,52.61
MS-053,"Humphreys County",62.01,105,9.3,52.71
MS-055,"Issaquena County",65.86,113,12.92,52.94
MS-057,"Itawamba County",75.2,124,21.62,53.58
MS-059,"Jackson County",59.71,47,-2.96,62.67
MS-061,"Jasper County",64.38,98,6.65,57.73
MS-063,"Jefferson County",64.46,105,8.34,56.12
MS-065,"Jefferson Davis County",64.11,92,5.99,58.12
MS-067,"Jones County",64.93,98,6.84,58.09
MS-069,"Kemper County",60.8,100,6.69,54.11
MS-071,"Lafayette County",71.36,119,17.65,53.71
MS-073,"Lamar County",65.81,91,5.84,59.97
MS-075,"Lauderdale County",58.94,81,3.09,55.85
MS-077,"Lawrence County",62.52,90,4.7,57.82
MS-079,"Leake County",72.99,125,18.93,54.06
MS-081,"Lee County",73.42,124,20.18,53.24
MS-083,"Leflore County",73.06,125,20.65,52.41
MS-085,"Lincoln County",65.27,97,6.79,58.48
MS-087,"Lowndes County",72.88,123,20.08,52.8
MS-089,"Madison County",66.69,120,14.37,52.32
MS-091,"Marion County",64.29,87,4.28,60.01
MS-093,"Marshall County",75.3,127,21.7,53.6
MS-095,"Monroe County",71.62,121,17.74,53.88
MS-097,"Montgomery County",73.08,124,20.0,53.08
MS-099,"Neshoba County",69.99,121,15.06,54.93
MS-101,"Newton County",67.46,111,11.29,56.17
MS-103,"Noxubee County",68.6,122,16.66,51.94
MS-105,"Oktibbeha County",79.57,125,26.97,52.6
MS-107,"Panola County",72.8,126,19.27,53.53
MS-109,"Pearl River County",63.67,69,2.0,61.67
MS-111,"Perry County",67.2,92,6.46,60.74
MS-113,"Pike County",61.62,65,0.31,61.31
MS-115,"Pontotoc County",70.07,118,16.48,53.59
MS-117,"Prentiss County",73.05,124,19.27,53.78
MS-119,"Quitman County",70.38,123,17.79,52.59
MS-121,"Rankin County",66.47,113,12.84,53.63
MS-123,"Scott County",71.85,122,17.18,54.67
MS-125,"Sharkey County",63.71,108,10.87,52.84
MS-127,"Simpson County",64.48,105,8.31,56.17
MS-129,"Smith County",65.8,105,9.14,56.66
MS-131,"Stone County",61.65,55,-1.02,62.67
MS-133,"Sunflower County",72.58,126,19.76,52.82
MS-135,"Tallahatchie County",72.75,122,19.85,52.9
MS-137,"Tate County",75.23,127,22.87,52.36
MS-139,"Tippah County",72.15,123,18.08,54.07
MS-141,"Tishomingo County",73.71,125,19.7,54.01
MS-143,"Tunica County",76.32,128,24.59,51.73
MS-145,"Union County",73.02,123,19.29,53.73
MS-147,"Walthall County",62.99,71,1.83,61.16
MS-149,"Warren County",64.75,112,11.63,53.12
MS-151,"Washington County",68.43,116,15.22,53.21
MS-153,"Wayne County",69.77,109,10.83,58.94
MS-155,"Webster County",68.35,118,15.14,53.21
MS-157,"Wilkinson County",64.24,88,5.04,59.2
MS-159,"Winston County",74.31,125,20.64,53.67
MS-161,"Yalobusha County",72.56,122,18.3,54.26
MS-163,"Yazoo County",64.01,113,11.59,52.42
MO-001,"Adair County",53.32,124,16.26,37.06
MO-003,"Andrew County",47.55,123,11.97,35.58
MO-005,"Atchison County",39.78,103,5.34,34.44
MO-007,"Audrain County",44.33,98,6.21,38.12
MO-009,"Barry County",64.85,125,20.43,44.42
MO-011,"Barton County",63.16,128,22.43,40.73
MO-013,"Bates County",61.63,127,21.44,40.19
MO-015,"Benton County",52.17,116,10.88,41.29
MO-017,"Bollinger County",62.01,123,16.92,45.09
MO-019,"Boone County",45.47,103,7.0,38.47
MO-021,"Buchanan County",47.14,116,11.28,35.86
MO-023,"Butler County",65.69,121,18.53,47.16
MO-025,"Caldwell County",51.96,125,15.16,36.8
MO-027,"Callaway County",44.93,104,6.6,38.33
MO-029,"Camden County",49.7,112,8.45,41.25
MO-031,"Cape Girardeau County",61.74,123,17.15,44.59
MO-033,"Carroll County",51.76,120,13.68,38.08
MO-035,"Carter County",62.16,122,17.07,45.09
MO-037,"Cass County",55.98,124,16.38,39.6
MO-039,"Cedar County",57.45,124,16.51,40.94
MO-041,"Chariton County",50.01,119,11.47,38.54
MO-043,"Christian County",55.41,118,12.23,43.18
MO-045,"Clark County",50.26,124,14.66,35.6
MO-047,"Clay County",47.3,114,10.3,37
MO-049,"Clinton County",50.1,119,13.39,36.71
MO-051,"Cole County",45.59,101,6.74,38.85
MO-053,"Cooper County",46.34,103,7.54,38.8
MO-055,"Crawford County",51.54,114,11.0,40.54
MO-057,"Dade County",57.06,121,15.76,41.3
MO-059,"Dallas County",54.39,122,12.68,41.71
MO-061,"Daviess County",54.63,126,18.47,36.16
MO-063,"DeKalb County",54.34,126,18.4,35.94
MO-065,"Dent County",54.67,115,12.41,42.26
MO-067,"Douglas County",58.83,121,15.43,43.4
MO-069,"Dunklin County",67.51,124,19.58,47.93
MO-071,"Franklin County",52.74,122,13.37,39.37
MO-073,"Gasconade County",47.53,108,8.44,39.09
MO-075,"Gentry County",50.07,123,14.58,35.49
MO-077,"Greene County",54.86,119,12.93,41.93
MO-079,"Grundy County",53.46,126,17.24,36.22
MO-081,"Harrison County",52.24,125,16.78,35.46
MO-083,"Henry County",50.68,114,10.09,40.59
MO-085,"Hickory County",52.94,118,11.69,41.25
MO-087,"Holt County",44.35,119,9.28,35.07
MO-089,"Howard County",46.22,106,7.72,38.5
MO-091,"Howell County",56.59,117,11.77,44.82
MO-093,"Iron County",58.9,119,14.79,44.11
MO-095,"Jackson County",51.01,122,12.75,38.26
MO-097,"Jasper County",62.44,127,20.14,42.3
MO-099,"Jefferson County",54.05,124,14.31,39.74
MO-101,"Johnson County",46.85,104,6.75,40.1
MO-103,"Knox County",53.87,126,16.76,37.11
MO-105,"Laclede County",53.3,118,11.22,42.08
MO-107,"Lafayette County",46.02,106,7.16,38.86
MO-109,"Lawrence County",61.08,124,18.13,42.95
MO-111,"Lewis County",50.22,122,13.42,36.8
MO-113,"Lincoln County",49.31,120,11.0,38.31
MO-115,"Linn County",52.9,123,15.38,37.52
MO-117,"Livingston County",55.06,125,18.5,36.56
MO-119,"McDonald County",70.66,128,26.84,43.82
MO-121,"Macon County",53.83,124,15.85,37.98
MO-123,"Madison County",60.97,124,16.14,44.83
MO-125,"Maries County",46.75,105,6.58,40.17
MO-127,"Marion County",46.7,112,9.53,37.17
MO-129,"Mercer County",50.01,122,14.07,35.94
MO-131,"Miller County",46.57,103,6.18,40.39
MO-133,"Mississippi County",64.03,123,17.46,46.57
MO-135,"Moniteau County",44.63,97,5.49,39.14
MO-137,"Monroe County",44.52,103,6.83,37.69
MO-139,"Montgomery County",47.87,113,9.43,38.44
MO-141,"Morgan County",47.2,104,6.62,40.58
MO-143,"New Madrid County",65.19,125,17.72,47.47
MO-145,"Newton County",66.1,128,22.84,43.26
MO-147,"Nodaway County",44.5,117,9.5,35
MO-149,"Oregon County",60.51,119,14.86,45.65
MO-151,"Osage County",46.01,107,7.25,38.76
MO-153,"Ozark County",59.4,122,16.41,42.99
MO-155,"Pemiscot County",65.32,125,17.77,47.55
MO-157,"Perry County",55.74,115,12.65,43.09
MO-159,"Pettis County",47.8,111,8.46,39.34
MO-161,"Phelps County",49.29,110,8.66,40.63
MO-163,"Pike County",46.45,106,8.27,38.18
MO-165,"Platte County",49.46,121,13.69,35.77
MO-167,"Polk County",53.26,116,12.24,41.02
MO-169,"Pulaski County",51.28,117,9.93,41.35
MO-171,"Putnam County",50.37,122,14.1,36.27
MO-173,"Ralls County",42.95,98,5.5,37.45
MO-175,"Randolph County",49.13,114,10.87,38.26
MO-177,"Ray County",47.72,111,9.97,37.75
MO-179,"Reynolds County",61.09,122,16.51,44.58
MO-181,"Ripley County",64.6,120,17.74,46.86
MO-183,"St. Charles County",54.0,124,16.05,37.95
MO-185,"St. Clair County",55.35,123,14.45,40.9
MO-186,"Ste. Genevieve County",52.38,114,11.09,41.29
MO-187,"St. Francois County",54.88,117,12.41,42.47
MO-189,"St. Louis County",53.26,123,15.1,38.16
MO-195,"Saline County",45.33,101,6.68,38.65
MO-197,"Schuyler County",52.78,123,16.36,36.42
MO-199,"Scotland County",52.99,124,16.72,36.27
MO-201,"Scott County",62.59,122,16.98,45.61
MO-203,"Shannon County",60.13,124,16.0,44.13
MO-205,"Shelby County",50.78,118,13.02,37.76
MO-207,"Stoddard County",63.44,122,16.86,46.58
MO-209,"Stone County",58.35,121,15.27,43.08
MO-211,"Sullivan County",49.24,120,12.19,37.05
MO-213,"Taney County",59.26,121,16.67,42.59
MO-215,"Texas County",53.41,115,10.27,43.14
MO-217,"Vernon County",63.92,128,23.6,40.32
MO-219,"Warren County",53.08,120,13.58,39.5
MO-221,"Washington County",56.05,120,15.05,41
MO-223,"Wayne County",62.02,120,16.2,45.82
MO-225,"Webster County",55.78,119,12.82,42.96
MO-227,"Worth County",46.97,121,11.66,35.31
MO-229,"Wright County",55.06,119,12.19,42.87
MO-510,"St. Louis City",50.17,118,12.18,37.99
MT-001,"Beaverhead County",19.32,47,-1.99,21.31
MT-003,"Big Horn County",20.01,118,4.46,15.55
MT-005,"Blaine County",16.49,106,2.87,13.62
MT-007,"Broadwater County",16.47,79,0.4,16.07
MT-009,"Carbon County",22.63,124,5.05,17.58
MT-011,"Carter County",24.84,128,10.52,14.32
MT-013,"Cascade County",18.86,90,1.64,17.22
MT-015,"Chouteau County",14.86,83,1.06,13.8
MT-017,"Custer County",18.57,118,4.97,13.6
MT-019,"Daniels County",18.98,125,5.7,13.28
MT-021,"Dawson County",20.14,126,6.9,13.24
MT-023,"Deer Lodge County",21.04,53,-1.72,22.76
MT-025,"Fallon County",21.53,126,7.42,14.11
MT-027,"Fergus County",19.54,108,3.22,16.32
MT-029,"Flathead County",32.23,23,-4.87,37.1
